title,views,date_time,video_link,thumbnail_link
"JAVA Backend Live Classes | Master OOPs, Spring Boot & Practice with Projects | GeeksforGeeks",1M views,7 months ago,/watch?v=y5sN2D4Zkmo,/watch?v=y5sN2D4Zkmo
How to participate and win any Hackathon - A Complete Guide | What are Hackathons? | Top 5 Hackathon,4.4K views,7 months ago,/watch?v=_yNtUwnvHio,/watch?v=_yNtUwnvHio
Do this to get a 15+ LPA job right after BCA!! | BCA VS BTECH | Is BCA worth it in 2024?,2.1K views,7 months ago,/watch?v=w95555WsTMI,/watch?v=w95555WsTMI
Happening this Month at GeeksforGeeks Noida Center! | GfG Offline Classes,802 views,7 months ago,/watch?v=ZTvTaINuLGk,/watch?v=ZTvTaINuLGk
GeeksforGeeks Full Stack LIVE Classes | With Projects | Learn Full Stack Development in 14 Weeks,209K views,7 months ago,/watch?v=G5lsLsK9evc,/watch?v=G5lsLsK9evc
Do this to crack Placements in just 30 days | *Free Resources*,25K views,7 months ago,/watch?v=zicelfDj-i8,/watch?v=zicelfDj-i8
💸 How to become a Graphic Designer in 2024? | Complete Graphic Designer Roadmap,898 views,7 months ago,/watch?v=GF2CQAP4Va0,/watch?v=GF2CQAP4Va0
DYNAMIC PROGRAMMING PRACTICE PROBLEM | DSA Course | GeeksforGeeks,1.4K views,7 months ago,/watch?v=5Bfjt3oY564,/watch?v=5Bfjt3oY564
Can these College students win 6000rs by answering easy coding questions?| GeeksforGeeks Premium,1.8K views,7 months ago,/watch?v=JtLJyMeHxLk,/watch?v=JtLJyMeHxLk
Create a 3D AI Website using Three.js | Frontend Projects | GeeksforGeeks,5.1K views,7 months ago,/watch?v=rq67tD6OYXc,/watch?v=rq67tD6OYXc
React Native VS Flutter | I analysed the app development market for both,3.3K views,7 months ago,/watch?v=2keMefdv9s4&pp=0gcJCb8Ag7Wk3p_U,/watch?v=2keMefdv9s4&pp=0gcJCb8Ag7Wk3p_U
Quick Sort: Auxiliary Space Explained in 8 Minutes! | Lecture - 25 | GeeksforGeeks,799 views,7 months ago,/watch?v=47dzZ_58vIw,/watch?v=47dzZ_58vIw
Learn QUICK SORT ANALYSIS in 10 MINUTES | Lecture - 24 | GeeksforGeeks,852 views,7 months ago,/watch?v=8VYD2q8dDFU&pp=0gcJCb8Ag7Wk3p_U,/watch?v=8VYD2q8dDFU&pp=0gcJCb8Ag7Wk3p_U
Top Interview Tips for Fresh Graduates in 2024 | GeeksforGeeks,3.2K views,7 months ago,/watch?v=aoBD3t-bFLo,/watch?v=aoBD3t-bFLo
GeeksforGeeks Classroom Program | Noida | Pune | Bengaluru,1.4K views,7 months ago,/watch?v=zPHy8Ruso5k,/watch?v=zPHy8Ruso5k
Is Engineering (B.Tech) Worth it in 2024? | Harsh Reality,1.7K views,8 months ago,/watch?v=Qt1xh3R_1_Y,/watch?v=Qt1xh3R_1_Y
Hoare Partition Quick Sort - PART II | Sorting Playlist | Lecture - 23 | GeeksforGeeks,763 views,8 months ago,/watch?v=pNDNomHBDZk,/watch?v=pNDNomHBDZk
Why you will never become a Programmer? | Placements | Honest reality | GfG,5.2K views,8 months ago,/watch?v=pM1sSCio0WE,/watch?v=pM1sSCio0WE
Learn Lomuto Partition in Quick Sort | Lecture - 22 | GeeksforGeeks,1.1K views,8 months ago,/watch?v=R-LMKBKPTok,/watch?v=R-LMKBKPTok
How I would learn Data Engineering in 2024 (If I could start over) | Complete Roadmap |,1.9K views,8 months ago,/watch?v=XTbyBW8Yh9U,/watch?v=XTbyBW8Yh9U
Introduction to Quick Sort | Sorting Playlist | Lecture - 21 | GeeksforGeeks,2K views,8 months ago,/watch?v=SN8jC7Nb-Os,/watch?v=SN8jC7Nb-Os
Big Companies vs Startups | Which one should you choose in 2024? | Startups | MNC'S,1K views,8 months ago,/watch?v=gkCKp0BgAy4,/watch?v=gkCKp0BgAy4
Hoare Partition Quick Sort | Lecture - 20 | GeeksforGeeks,4.3K views,8 months ago,/watch?v=NsY5UI0RZfE&pp=0gcJCb8Ag7Wk3p_U,/watch?v=NsY5UI0RZfE&pp=0gcJCb8Ag7Wk3p_U
GATE vs Placements🧑‍💻| Which one to choose after graduation? 🤔 | GATE | Engineering | GFG,1.6K views,8 months ago,/watch?v=N42PuoXkjgA,/watch?v=N42PuoXkjgA
Futuristic Marvel Technologies that will blow your mind | Marvel | Metaverse | GFG,708 views,8 months ago,/watch?v=1C5qpMkfeNw&pp=0gcJCb8Ag7Wk3p_U,/watch?v=1C5qpMkfeNw&pp=0gcJCb8Ag7Wk3p_U
Learn Lomuto Partition | Lecture - 19 | GeeksforGeeks,2.8K views,8 months ago,/watch?v=xew1z47P6OM,/watch?v=xew1z47P6OM
What is Dynamic Programming? |  Data Structures & Algorithms | GeeksforGeeks,1.2K views,8 months ago,/watch?v=ad6UqyoZ9Hk,/watch?v=ad6UqyoZ9Hk
Top 7 questions asked in Microsoft interviews😎 | Microsoft | Interview Questions | Career Tips | GFG,3.6K views,8 months ago,/watch?v=nZwVi7Affvc,/watch?v=nZwVi7Affvc
Learn Quick Sort (Naive Partition) in 5 Minutes | Sorting Playlist | Lecture -18 | GeeksforGeeks,1.1K views,8 months ago,/watch?v=kq3d0P6WxBo,/watch?v=kq3d0P6WxBo
Python vs Java | Which one you should choose in 2024? | Python | Java | Machine Learning | GFG,7.6K views,8 months ago,/watch?v=5IS1qwgUtPQ,/watch?v=5IS1qwgUtPQ
Count Inversion in Array | Lecture 17 | GeeksforGeeks,3.3K views,8 months ago,/watch?v=r0iq9vfZ6bA,/watch?v=r0iq9vfZ6bA
Why so many CEOs are from India? | Decoded | Google | Microsoft | Adobe | GFG,1.2K views,8 months ago,/watch?v=TpeDtIwGJeA,/watch?v=TpeDtIwGJeA
Learn Union Sort in 10 Minutes | Sorting Playlist | GeeksforGeeks,1K views,8 months ago,/watch?v=CfAGM0kQsGU&pp=0gcJCb8Ag7Wk3p_U,/watch?v=CfAGM0kQsGU&pp=0gcJCb8Ag7Wk3p_U
Intersection of Two Merge Sort Array | Free Tutorial | Lecture - 15 | GeeksforGeeks,777 views,8 months ago,/watch?v=dr5DHXTk7zc,/watch?v=dr5DHXTk7zc
Should you pursue Data Science in 2024? | Complete Roadmap | 50 LPA+ jobs | Data Science | GFG,1.5K views,8 months ago,/watch?v=TY1VeJSRk9I,/watch?v=TY1VeJSRk9I
Learn Merge Sort Analysis with @SandeepJainGfG  | GeeksforGeeks,603 views,8 months ago,/watch?v=Pb0L79nkdK0,/watch?v=Pb0L79nkdK0
